created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Feb 11 23:59:58 +0000 2024;1756830469101109662;"harusnya dokumenter dirty vote ada versi full, judulnya dirty government.";0;0;0;1;in;3246152630;1756830469101109662;lembedang;https://twitter.com/lembedang/status/1756830469101109662
Sun Feb 11 23:59:55 +0000 2024;1756830453301137625;"Keramaian Dirty Vote, Ibu Connie juga menyampaikan bahwa mendapat peringatan “Jangan Ganggu Gibran.” Tentu hal itu menjadi bagian dari intimidasi yg dilakukan oleh orang-orang 02. Seperti inikah gambaran Pemilu Riang Gembira?  #YakinPilihGanjar #ganjarpranowo #ganjarmahfud2024 https://t.co/NzfnpDrqGG";0;0;0;0;in;69834086;1756830453301137625;IntanAyuArimbi;https://twitter.com/IntanAyuArimbi/status/1756830453301137625
Sun Feb 11 23:59:54 +0000 2024;1756830452701360439;"Semalem mau lanjutin nonton dirty vote, tapi gua ketiduran";0;0;0;0;in;1270850215239512064;1756830452701360439;Hazellnuy;https://twitter.com/Hazellnuy/status/1756830452701360439
Sun Feb 11 23:59:54 +0000 2024;1756830451149525155;"#DirtyVote  Semoga ORANG/INSTITUSI yg disebut dlm film tsb jika ada counter dipersilahkan MENGADU DATA &amp  JANGAN MENGADU KE MEJA APARAT DEMI MARWAH DEMOKRASI 🙏🏻🙏🏻";0;0;0;0;in;1716060084286177280;1756830451149525155;Syahruzy44356;https://twitter.com/Syahruzy44356/status/1756830451149525155
Sun Feb 11 23:59:50 +0000 2024;1756830432652623986;"Amazing, DIRTY VOTE menuju 3 JT dan Trending di X guys https://t.co/WrdrON2O1b";13;13;116;281;in;1334853481019056128;1756830432652623986;Mdy_Asmara1701;https://twitter.com/Mdy_Asmara1701/status/1756830432652623986
Sun Feb 11 23:59:46 +0000 2024;1756830417779605542;"Film Dirty Vote Soroti Bawaslu Tidak Kompeten Awasi Penyelenggaraan Pemilu https://t.co/PqAKQ7yOqQ";0;1;0;3;in;231355136;1756830417779605542;SINDOnews;https://twitter.com/SINDOnews/status/1756830417779605542
Sun Feb 11 23:59:44 +0000 2024;1756830407172165672;"@mss934735443619 @Lembayung071 @jokowi ga benci kak, lebih shock aja yang punya tingkah laku tak terduga😉. Coba itu yang dirty vote film ditonton secara baik-baik sampe selese. Biar paham";0;1;0;0;in;957388837369495553;1756653693955690823;mumuygan;https://twitter.com/mumuygan/status/1756830407172165672
Sun Feb 11 23:59:42 +0000 2024;1756830401371447440;"Met beraktifitas !    Ayo nonton Dirty Vote dah hampir 3jt viewer pagi ini &amp  share untuk Pencerahan yg mo Dibodohi gerombolan Plongo  https://t.co/77ytE6tZek";0;0;0;0;in;1414014630507081731;1756830401371447440;Joxplalong;https://twitter.com/Joxplalong/status/1756830401371447440
Sun Feb 11 23:59:33 +0000 2024;1756830364079915122;"Kok bisa ya kalo nyari dirty vote lgsg di search bar ga ketemu Tp klo lgsg ke link nya ada 👀👀";0;0;0;2;in;3013953878;1756830364079915122;MstakenJlly;https://twitter.com/MstakenJlly/status/1756830364079915122
Sun Feb 11 23:59:29 +0000 2024;1756830344412827940;"@met_HD140283 @chici003 @kangdede78 Ya jangan disamakan lah, sama paslon yang jor-joran ngeluarin duit buat kampanye. Dengan anggaran kampanye sebanyak itu, gak kebayang gimana cara mereka buat balikin modal nya itu. Nonton aja film dokumenter Dirty Vote, semua dibahas disana";0;1;0;5;in;1218058892036362242;1756672257441825015;rzandika13;https://twitter.com/rzandika13/status/1756830344412827940
Sun Feb 11 23:59:28 +0000 2024;1756830340516331978;"nonton dirty vote aja biar ga degdegan";0;0;0;0;in;1412738626186711042;1756830340516331978;jancepubestie;https://twitter.com/jancepubestie/status/1756830340516331978
Sun Feb 11 23:59:20 +0000 2024;1756830306995425308;"kocak bgt film dirty vote dikeluarin pas masa tenang, sesengaja itu🤨 segitu takutnya kah?";0;1;0;0;in;357458024;1756830306995425308;itshun_xx;https://twitter.com/itshun_xx/status/1756830306995425308
Sun Feb 11 23:59:20 +0000 2024;1756830306370470133;"Nonton DIRTY VOTE makin ngerasa betapa kotornya politik Indonesia dan betapa benernya manusia memang suka jilat ludah sendiri, dan deket sama orng yg punya kekuasaan akan membuat lu punya kekuasaan juga";0;0;0;0;in;1608769938902380546;1756830306370470133;ryecill00;https://twitter.com/ryecill00/status/1756830306370470133
Sun Feb 11 23:59:17 +0000 2024;1756830293795975612;"@PartaiSocmed Lanjutkan DIRTY VOTE  . . . Siapa lagi yg bisa kita percaya bilamana instrumen kebusukan oligarki !! Rakyat jadi korban";0;0;0;0;in;1350066300379250688;1756692453208551850;nor_pauzi;https://twitter.com/nor_pauzi/status/1756830293795975612
